NickRank,Name,Position,Team,Score,DK_rank,Angle_rank,Fantasy_rank,Sources,DK_move
1,Jahmyr Gibbs,RB,DET,1.0,1,1,1,3,0
2,Bijan Robinson,RB,ATL,2.0,2,2,2,3,0
3,Ja'Marr Chase,WR,CIN,3.0,3,3,3,3,0
4,Puka Nacua,WR,LAR,4.0,4,4,4,3,0
5,Christian McCaffrey,RB,SF,6.0,6,7,5,3,1
6,Amon-Ra St. Brown,WR,DET,6.25,7,5,6,3,1
7,Jaxon Smith-Njigba,WR,SEA,6.5,5,6,10,3,-2
8,Jonathan Taylor,RB,IND,8.25,8,8,9,3,0
9,James Cook III,RB,BUF,8.5,9,9,7,3,0
10,CeeDee Lamb,WR,DAL,11.25,11,12,11,3,1
11,Chase Brown,RB,CIN,11.25,13,11,8,3,2
12,Kenneth Walker III,RB,KC,13.25,14,10,15,3,2
13,Justin Jefferson,WR,MIN,13.5,10,13,21,3,-3
14,Saquon Barkley,RB,PHI,14.25,12,17,16,3,-2
15,Omarion Hampton,RB,LAC,14.75,16,15,12,3,1
16,De'Von Achane,RB,MIA,16.75,15,23,14,3,-1
17,Derrick Henry,RB,BAL,16.75,18,18,13,3,1
18,Ashton Jeanty,RB,LV,18.25,20,16,17,3,2
19,A.J. Brown,WR,NE,18.5,17,21,19,3,-2
20,Brock Bowers,TE,LV,19.25,19,14,25,3,-1
21,Malik Nabers,WR,NYG,22.0,23,20,22,3,2
22,Drake London,WR,ATL,22.75,21,26,23,3,-1
23,Chris Olave,WR,NO,22.75,22,19,28,3,-1
24,George Pickens,WR,DAL,23.0,24,24,20,3,0
25,Nico Collins,WR,HOU,23.25,25,25,18,3,0
26,DeVonta Smith,WR,PHI,27.75,30,22,29,3,4
27,Rashee Rice,WR,KC,30.0,26,31,37,3,-1
28,Trey McBride,TE,ARI,30.0,27,32,34,3,-1
29,Ladd McConkey,WR,LAC,31.0,32,28,32,3,3
30,Jaylen Waddle,WR,DEN,31.25,34,27,30,3,4
31,Jeremiyah Love,RB,ARI,32.25,35,35,24,3,4
32,Zay Flowers,WR,BAL,33.0,33,40,26,3,1
33,Javonte Williams,RB,DAL,33.75,31,37,36,3,-2
34,Josh Allen,QB,BUF,34.25,28,36,45,3,-6
35,Kyren Williams,RB,LAR,35.75,29,44,41,3,-6
36,Tee Higgins,WR,CIN,36.25,36,42,31,3,0
37,Colston Loveland,TE,CHI,36.5,39,33,35,3,2
38,Emeka Egbuka,WR,TB,36.5,42,29,33,3,4
39,Garrett Wilson,WR,NYJ,37.75,37,30,47,3,-2
40,Travis Etienne Jr.,RB,NO,39.5,38,38,44,3,-2
41,Luther Burden III,WR,CHI,39.5,46,39,27,3,5
42,D'Andre Swift,RB,CHI,41.75,43,43,38,3,1
43,Breece Hall,RB,NYJ,42.25,41,34,53,3,-2
44,Tetairoa McMillan,WR,CAR,43.25,44,46,39,3,0
45,Cam Skattebo,RB,NYG,45.5,45,50,42,3,0
46,Davante Adams,WR,LAR,46.75,48,48,43,3,2
47,Jameson Williams,WR,DET,48.5,50,45,49,3,3
48,DJ Moore,WR,BUF,48.75,40,57,58,3,-8
49,David Montgomery,RB,HOU,50.5,47,54,54,3,-2
50,Parker Washington,WR,JAX,51.5,49,51,57,3,-1
51,Christian Watson,WR,GB,52.0,55,52,46,3,4
52,Bhayshul Tuten,RB,JAX,52.25,51,55,52,3,-1
53,Terry McLaurin,WR,WAS,52.75,54,41,62,3,1
54,Bucky Irving,RB,TB,53.25,53,67,40,3,-1
55,Rome Odunze,WR,CHI,55.0,58,56,48,3,3
56,Mike Evans,WR,SF,55.0,60,49,51,3,4
57,Lamar Jackson,QB,BAL,57.5,56,47,71,3,-1
58,Tyler Warren,TE,IND,59.0,61,53,61,3,3
59,Jadarian Price,RB,SEA,59.75,57,66,59,3,-2
60,Quinshon Judkins,RB,CLE,60.25,59,68,55,3,-1
61,Rhamondre Stevenson,RB,NE,60.75,64,65,50,3,3
62,Josh Jacobs,RB,GB,61.75,52,63,80,3,-10
63,Drake Maye,QB,NE,65.0,65,60,70,3,2
64,Joe Burrow,QB,CIN,67.0,62,61,83,3,-2
65,Tucker Kraft,TE,GB,67.25,74,58,63,3,9
66,TreVeyon Henderson,RB,NE,68.75,66,64,79,3,0
67,Jaylen Warren,RB,PIT,69.0,70,76,60,3,3
68,Chris Godwin Jr.,WR,TB,70.75,69,81,64,3,1
69,Jonathon Brooks,RB,CAR,71.0,68,83,65,3,-1
70,Marvin Harrison Jr.,WR,ARI,71.25,63,86,73,3,-7
71,Jayden Daniels,QB,WAS,71.25,75,59,76,3,4
72,Caleb Williams,QB,CHI,72.5,71,70,78,3,-1
73,Sam LaPorta,TE,DET,73.0,87,62,56,3,14
74,Carnell Tate,WR,TEN,76.25,67,84,87,3,-7
75,Jalen Hurts,QB,PHI,76.5,76,72,82,3,1
76,Michael Wilson,WR,ARI,78.75,73,95,74,3,-3
77,Josh Downs,WR,IND,79.0,88,73,67,3,11
78,Quentin Johnston,WR,LAC,79.5,79,91,69,3,1
79,Justin Herbert,QB,LAC,81.0,86,71,81,3,7
80,Tony Pollard,RB,TEN,84.25,80,79,98,3,0
81,Harold Fannin Jr.,TE,CLE,84.5,98,74,68,3,17
82,Stefon Diggs,WR,WAS,85.75,83,100,77,3,1
83,Kyle Pitts Sr.,TE,ATL,87.25,92,75,90,3,9
84,Jordan Mason,RB,MIN,87.5,93,89,75,3,9
85,Blake Corum,RB,LAR,88.0,90,87,85,3,5
86,Trevor Lawrence,QB,JAX,88.0,91,69,101,3,5
87,Rico Dowdle,RB,PIT,88.25,84,90,95,3,-3
88,Jayden Reed,WR,GB,89.0,89,112,66,3,1
89,DK Metcalf,WR,PIT,89.75,81,92,105,3,-8
90,De'Zhaun Stribling,WR,SF,90.75,85,102,91,3,-5
91,Michael Pittman Jr.,WR,PIT,90.75,107,77,72,3,16
92,Wan'Dale Robinson,WR,TEN,91.25,96,80,93,3,4
93,Courtland Sutton,WR,DEN,92.5,77,96,120,3,-16
94,Dak Prescott,QB,DAL,93.25,78,78,139,3,-16
95,Jordan Addison,WR,MIN,94.0,97,93,89,3,2
96,RJ Harvey,RB,DEN,94.75,82,108,107,3,-14
97,Kenny Gainwell,RB,TB,99.0,95,107,99,3,-2
98,Makai Lemon,WR,PHI,101.25,104,109,88,3,6
99,J.K. Dobbins,RB,DEN,101.25,105,82,113,3,6
100,Brock Purdy,QB,SF,103.0,108,94,102,3,8
101,Dalton Kincaid,TE,BUF,104.0,103,104,106,3,2
102,KC Concepcion,WR,CLE,105.0,111,101,97,3,9
103,Alec Pierce,WR,IND,105.25,110,105,96,3,7
104,Jacory Croskey-Merritt,RB,WAS,105.75,100,106,117,3,-4
105,Brian Thomas Jr.,WR,JAX,107.25,72,85,,2,-33
106,George Kittle,TE,SF,107.25,109,97,114,3,3
107,Isaiah Likely,TE,NYG,109.75,114,99,112,3,7
108,Dallas Goedert,TE,PHI,110.25,117,103,104,3,9
109,Matthew Golden,WR,GB,110.75,99,124,121,3,-10
110,Jaxson Dart,QB,NYG,112.25,112,114,111,3,2
111,Chuba Hubbard,RB,CAR,112.25,113,88,135,3,2
112,Romeo Doubs,WR,NE,113.25,116,129,92,3,4
113,Jakobi Meyers,WR,JAX,114.25,130,111,86,3,17
114,Matthew Stafford,QB,LAR,115.0,94,118,154,3,-20
115,Bo Nix,QB,DEN,116.5,106,116,138,3,-9
116,Patrick Mahomes,QB,KC,117.25,101,115,152,3,-15
117,Jared Goff,QB,DET,117.5,102,113,153,3,-15
118,Rachaad White,RB,WAS,117.5,127,122,94,3,9
119,Kyle Monangai,RB,CHI,118.75,120,127,108,3,1
120,Kyler Murray,QB,MIN,119.5,118,132,110,3,-2
121,Jalen Coker,WR,CAR,120.25,126,110,119,3,5
122,MarShawn Lloyd,RB,GB,122.5,129,148,84,3,7
123,Deebo Samuel Sr.,WR,SF,123.25,119,133,122,3,-4
124,Aaron Jones Sr.,RB,MIN,123.75,132,131,100,3,8
125,Chris Rodriguez Jr.,RB,JAX,125.25,133,120,115,3,8
126,Mike Washington Jr.,RB,LV,128.25,122,,118,2,-4
127,Travis Kelce,TE,KC,128.5,121,98,174,3,-6
128,Jordyn Tyson,WR,NO,130.5,131,130,130,3,3
129,Xavier Worthy,WR,KC,130.75,125,128,145,3,-4
130,Baker Mayfield,QB,TB,131.5,124,138,140,3,-6
131,Juwan Johnson,TE,NO,132.0,137,125,129,3,6
132,Malik Willis,QB,MIA,132.25,135,136,123,3,3
133,Tyler Shough,QB,NO,133.0,123,117,169,3,-10
134,Jonah Coleman,RB,DEN,133.5,146,139,103,3,12
135,Jordan Love,QB,GB,134.25,115,137,170,3,-20
136,Jake Ferguson,TE,DAL,134.75,128,,132,2,-8
137,Keaton Mitchell,RB,LAC,136.25,141,121,142,3,4
138,Rashid Shaheed,WR,SEA,136.5,138,119,151,3,0
139,Khalil Shakir,WR,BUF,139.5,134,135,155,3,-5
140,Woody Marks,RB,HOU,141.0,136,,141,2,-4
141,Tyjae Spears,RB,TEN,141.0,152,134,126,3,11
142,Tyler Allgeier,RB,ARI,145.0,139,143,159,3,-3
143,Ja'Kobi Lane,WR,BAL,146.0,142,,149,2,-1
144,Brenton Strange,TE,JAX,146.0,150,,133,2,6
145,Zach Charbonnet,RB,SEA,146.5,159,,109,2,14
146,Terrance Ferguson,TE,LAR,146.75,157,,116,2,11
147,Daniel Jones,QB,IND,148.5,140,141,173,3,-7
148,Tank Bigsby,RB,PHI,149.5,164,145,125,3,16
149,Tre Tucker,WR,LV,152.75,153,149,156,3,4
150,C.J. Stroud,QB,HOU,153.25,145,,172,2,-5
151,Cyrus Allen,WR,KC,154.0,160,150,146,3,9
152,Chig Okonkwo,TE,WAS,155.0,147,126,,2,-5
153,Dalton Schultz,TE,HOU,155.0,162,,134,2,9
154,Ryan Flournoy,WR,DAL,155.0,171,147,131,3,17
155,Dontayvion Wicks,WR,PHI,155.75,156,146,165,3,1
156,Mark Andrews,TE,BAL,156.5,143,140,,2,-13
157,Sam Darnold,QB,SEA,157.75,144,,192,2,-13
158,Denzel Boston,WR,CLE,160.0,149,142,,2,-9
159,Keenan Allen,WR,IND,160.25,151,,188,2,-8
160,Malik Washington,WR,MIA,161.75,148,,,1,-12
161,Kayshon Boutte,WR,HOU,162.0,170,123,185,3,9
162,Hunter Henry,TE,NE,163.0,154,144,,2,-8
163,Jalen Nailor,WR,LV,166.25,155,,,1,-8
164,Tyrone Tracy Jr.,RB,NYG,168.0,163,,183,2,-1
165,Cam Ward,QB,TEN,168.5,158,,,1,-7
166,Isiah Pacheco,RB,DET,168.5,179,,137,2,13
167,Dylan Sampson,RB,CLE,168.75,165,,180,2,-2
168,Kaelon Black,RB,SF,169.25,183,,128,2,15
169,Caleb Douglas,WR,MIA,169.5,176,,150,2,7
170,Pat Bryant,WR,DEN,169.75,174,,157,2,4
171,Tre' Harris,WR,LAC,169.75,177,,148,2,6
172,Bryce Young,QB,CAR,170.75,161,,,1,-11
173,Jauan Jennings,WR,MIN,170.75,173,,164,2,0
174,Jalen McMillan,WR,TB,172.5,168,,186,2,-6
175,Adonai Mitchell,WR,NYJ,174.5,166,,,1,-9
176,Emmett Johnson,RB,KC,175.0,192,,124,2,16
177,Jacoby Brissett,QB,ARI,175.25,167,,,1,-10
178,T.J. Hockenson,TE,MIN,176.75,169,,,1,-9
179,Braelon Allen,RB,NYJ,179.0,172,,,1,-7
180,Oronde Gadsden II,TE,LAC,180.75,184,,171,2,4
181,Aaron Rodgers,QB,PIT,181.25,175,,,1,-6
182,Ray Davis,RB,BUF,181.25,189,,158,2,7
183,Jaydon Blue,RB,DAL,182.5,188,,166,2,5
184,Kimani Vidal,RB,LAC,182.5,201,,127,2,17
185,Travis Hunter,WR,JAX,183.5,178,,,1,-7
186,Malachi Fields,WR,NYG,183.5,181,,191,2,-5
187,AJ Barner,TE,SEA,185.0,180,,,1,-7
188,Omar Cooper Jr.,WR,NYJ,185.0,193,,161,2,5
189,Tank Dell,WR,HOU,186.5,182,,,1,-7
190,Chris Bell,WR,MIA,186.75,200,,147,2,10
191,Greg Dulcich,TE,MIA,188.75,185,,,1,-6
192,Geno Smith,QB,NYJ,189.5,186,,,1,-6
193,Devaughn Vele,WR,NO,189.75,194,,177,2,1
194,Alvin Kamara,RB,NO,190.25,187,,,1,-7
195,Cade Otton,TE,TB,191.0,196,,176,2,1
196,Fernando Mendoza,QB,LV,191.25,190,,195,2,-6
197,Gunnar Helm,TE,TEN,191.5,197,,175,2,0
198,Brian Robinson Jr.,RB,ATL,191.75,195,,182,2,-3
199,Kenyon Sadiq,TE,NYJ,193.25,191,,,1,-8
200,Zachariah Branch,WR,ATL,193.75,205,,160,2,5
201,Isaac TeSlaa,WR,DET,198.5,198,,,1,-3
202,Jaylin Noel,WR,HOU,198.75,217,,144,2,15
203,Jerry Jeudy,WR,CLE,199.25,199,,,1,-4
204,Jayden Higgins,WR,HOU,202.0,202,,,1,-2
205,Pat Freiermuth,TE,PIT,203.0,203,,,1,-2
206,Calvin Ridley,WR,TEN,204.0,204,,,1,-2
207,Germie Bernard,WR,PIT,204.25,213,,178,2,6
208,Cooper Kupp,WR,SEA,206.0,206,,,1,-2
209,Ted Hurst III,WR,TB,206.25,209,,198,2,0
210,Colby Parkinson,TE,LAR,207.0,207,,,1,-3
211,Justice Hill,RB,BAL,208.0,208,,,1,-3
212,George Holani,RB,SEA,210.0,210,,,1,-2
213,Najee Harris,RB,NYG,211.0,211,,,1,-2
214,Antonio Williams,WR,WAS,211.25,222,,179,2,8
215,Rashod Bateman,WR,BAL,211.5,226,,168,2,11
216,David Njoku,TE,LAC,212.0,212,,,1,-4
217,Malik Davis,RB,DAL,213.25,230,,163,2,13
218,Sean Tucker,RB,TB,214.0,214,,,1,-4
219,Ricky Pearsall,WR,SF,215.0,215,,,1,-4
220,Kaytron Allen,RB,WAS,215.5,227,,181,2,7
221,Michael Penix Jr.,QB,ATL,216.0,216,,,1,-5
222,Tua Tagovailoa,QB,ATL,218.0,218,,,1,-4
223,Darren Waller,TE,CAR,219.0,219,,,1,-4
224,Nick Singleton,RB,TEN,220.0,220,,,1,-4
225,Keon Coleman,WR,BUF,221.0,221,,,1,-4
226,Evan Engram,TE,DEN,223.0,223,,,1,-3
227,Kirk Cousins,QB,LV,224.0,224,,,1,-3
228,James Conner,RB,ARI,224.0,243,,167,2,15
229,Deshaun Watson,QB,CLE,225.0,225,,,1,-4
230,Darnell Mooney,WR,NYG,226.75,236,,199,2,6
231,Samaje Perine,RB,CIN,228.0,228,,,1,-3
232,Charlie Kolar,TE,LAC,229.0,229,,,1,-3
233,Demond Claiborne,RB,MIN,230.5,262,,136,2,29
234,Shedeur Sanders,QB,CLE,231.0,231,,,1,-3
235,Troy Franklin,WR,DEN,232.0,232,,,1,-3
236,Tyquan Thornton,WR,KC,232.75,246,,193,2,10
237,JuJu Smith-Schuster,WR,FA,233.0,233,,,1,-4
238,Xavier Hutchinson,WR,HOU,234.0,234,,,1,-4
239,Seth McGowan,RB,IND,235.0,235,,,1,-4
240,DeMario Douglas,WR,NE,236.75,251,,194,2,11
241,Jake Tonges,TE,SF,237.0,237,,,1,-4
242,Tyreek Hill,WR,FA,238.0,238,,,1,-4
243,Trevor Etienne,RB,CAR,239.0,239,,,1,-4
244,DeAndre Hopkins,WR,FA,240.0,240,,,1,-4
245,Gregory Desrosiers,RB,LAC,241.0,241,,,1,-4
246,Joe Mixon,RB,FA,242.0,242,,,1,-4
247,Khalil Herbert,RB,SF,244.0,244,,,1,-3
248,Jacardia Wright,RB,SEA,245.0,245,,,1,-3
249,Michael Mayer,TE,LV,246.25,263,,196,2,14
250,Jordan James,RB,SF,246.75,275,,162,2,25
251,Skyler Bell,WR,BUF,247.0,247,,,1,-4
252,Odell Beckham Jr.,WR,NYG,248.0,248,,,1,-4
253,Jaylin Lane,WR,WAS,249.0,249,,,1,-4
254,Emari Demercado,RB,KC,250.0,250,,,1,-4
255,Jalen Brooks,WR,ARI,252.0,252,,,1,-3
256,Emanuel Wilson,RB,SEA,253.0,253,,,1,-3
257,Kyle Juszczyk,RB,SF,254.0,254,,,1,-3
258,Dylan Laube,RB,LV,255.0,255,,,1,-3
259,Salvon Ahmed,RB,CHI,256.0,256,,,1,-3
260,Sincere McCormick,RB,SF,257.0,257,,,1,-3
261,Jaleel McLaughlin,RB,DEN,258.0,258,,,1,-3
262,Mike Gesicki,TE,CIN,259.0,259,,,1,-3
263,Trey Benson,RB,ARI,260.0,260,,,1,-3
264,Will Shipley,RB,PHI,261.0,261,,,1,-3
265,Tanner Koziol,TE,JAX,264.0,264,,,1,-1
266,Zamir White,RB,NO,265.0,265,,,1,-1
267,CJ Daniels,WR,LAR,266.0,266,,,1,-1
268,Mack Hollins,WR,NE,267.0,267,,,1,-1
269,Max Klare,TE,LAR,268.0,268,,,1,-1
270,Devin Neal,RB,NO,269.0,269,,,1,-1
271,Josh Cameron,WR,JAX,270.0,270,,,1,-1
272,Roschon Johnson,RB,CHI,271.0,271,,,1,-1
273,Zach Ertz,TE,FA,272.0,272,,,1,-1
274,Kyle Williams,WR,NE,272.5,302,,184,2,28
275,Phil Mafah,RB,DAL,273.0,273,,,1,-2
276,Sterling Shepard,WR,HOU,274.0,274,,,1,-2
277,Adam Randall,RB,BAL,275.75,320,,143,2,43
278,Marquez Valdes-Scantling,WR,DAL,276.0,276,,,1,-2
279,Carson Beck,QB,ARI,277.0,277,,,1,-2
280,Taysom Hill,TE,FA,278.0,278,,,1,-2
281,Sione Vaki,RB,DET,279.0,279,,,1,-2
282,Devin Singletary,RB,NYG,280.0,280,,,1,-2
283,J'Mari Taylor,RB,JAX,281.0,281,,,1,-2
284,Kaden Wetjen,WR,PIT,282.0,282,,,1,-2
285,Kaleb Johnson,RB,PIT,283.0,283,,,1,-2
286,Skyy Moore,WR,GB,284.0,284,,,1,-2
287,Hollywood Brown,WR,PHI,285.0,285,,,1,-2
288,Luke McCaffrey,WR,WAS,286.0,286,,,1,-2
289,Christian Kirk,WR,SF,287.0,287,,,1,-2
290,Calvin Austin III,WR,NYG,288.0,288,,,1,-2
291,Isaiah Bond,WR,CLE,289.0,289,,,1,-2
292,Dean Connors,RB,LAR,290.0,290,,,1,-2
293,Nick Westbrook-Ikhine,WR,IND,291.0,291,,,1,-2
294,Eli Heidenreich,WR,PIT,292.0,292,,,1,-2
295,Noah Thomas,WR,CIN,293.0,293,,,1,-2
296,Audric Estime,RB,NO,294.0,294,,,1,-2
297,Dont'e Thornton Jr.,WR,LV,295.0,295,,,1,-2
298,Nick Chubb,RB,FA,296.0,296,,,1,-2
299,Chris Brooks,RB,GB,297.0,297,,,1,-2
300,Marvin Mims Jr.,WR,DEN,298.0,298,,,1,-2
301,Barion Brown,WR,NO,298.75,336,,187,2,35
302,Devontez Walker,WR,BAL,299.0,299,,,1,-3
303,Michael Trigg,TE,DAL,300.0,300,,,1,-3
304,Jimmy Horn Jr.,WR,CAR,301.0,301,,,1,-3
305,Jaylen Wright,RB,MIA,303.0,303,,,1,-2
306,Raheim Sanders,RB,CLE,304.0,304,,,1,-2
307,Darius Cooper,WR,PHI,305.0,305,,,1,-2
308,Isaac Guerendo,RB,SF,306.0,306,,,1,-2
309,Brandon Aiyuk,WR,SF,307.0,307,,,1,-2
310,Will Kacmarek,TE,MIA,308.0,308,,,1,-2
311,Michael Carter,RB,TEN,309.0,309,,,1,-2
312,Kareem Hunt,RB,FA,310.0,310,,,1,-2
313,Spencer Rattler,QB,NO,311.0,311,,,1,-2
