"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","-","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","-","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","-","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","-","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","-","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","-","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","-","+4"
"8",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","-","+5"
"9",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","-","-4"
"10",2,"Drake London",ATL,"WR7","11","5 out of 5","2 out of 5","-","+7"
"11",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","-","-4"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","-","+8"
"13",3,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","-","+13"
"14",3,"Ashton Jeanty",LV,"RB5","13","5 out of 5","2 out of 5","-","-4"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","-","0"
"16",3,"James Cook III",BUF,"RB7","7","4 out of 5","2 out of 5","-","-7"
"17",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","-","+5"
"18",3,"George Pickens",DAL,"WR10","14","4 out of 5","4 out of 5","-","+6"
"19",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","-","+2"
"20",3,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","-","+8"
"21",3,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","-","-9"
"22",3,"Rashee Rice",KC,"WR12","5","5 out of 5","4 out of 5","-","+5"
"23",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","-","+11"
"24",4,"Saquon Barkley",PHI,"RB9","10","4 out of 5","3 out of 5","-","-10"
