player_name,team,position,adp,source
Ja'Marr Chase,CIN,WR,1,fantasypros_ecr
Jahmyr Gibbs,DET,RB,2,fantasypros_ecr
Puka Nacua,LAR,WR,3,fantasypros_ecr
Bijan Robinson,ATL,RB,4,fantasypros_ecr
Jaxon Smith-Njigba,SEA,WR,5,fantasypros_ecr
Amon-Ra St. Brown,DET,WR,6,fantasypros_ecr
CeeDee Lamb,DAL,WR,7,fantasypros_ecr
Christian McCaffrey,SF,RB,8,fantasypros_ecr
Justin Jefferson,MIN,WR,9,fantasypros_ecr
Drake London,ATL,WR,10,fantasypros_ecr
Jonathan Taylor,IND,RB,11,fantasypros_ecr
A.J. Brown,NE,WR,12,fantasypros_ecr
Nico Collins,HOU,WR,13,fantasypros_ecr
Ashton Jeanty,LV,RB,14,fantasypros_ecr
Chase Brown,CIN,RB,15,fantasypros_ecr
James Cook III,BUF,RB,16,fantasypros_ecr
Brock Bowers,LV,TE,17,fantasypros_ecr
Trey McBride,ARI,TE,18,fantasypros_ecr
George Pickens,DAL,WR,19,fantasypros_ecr
Chris Olave,NO,WR,20,fantasypros_ecr
De'Von Achane,MIA,RB,21,fantasypros_ecr
Rashee Rice,KC,WR,22,fantasypros_ecr
DeVonta Smith,PHI,WR,23,fantasypros_ecr
Saquon Barkley,PHI,RB,24,fantasypros_ecr
Josh Allen,BUF,QB,25,fantasypros_ecr
Omarion Hampton,LAC,RB,26,fantasypros_ecr
Malik Nabers,NYG,WR,27,fantasypros_ecr
Zay Flowers,BAL,WR,28,fantasypros_ecr
Kenneth Walker III,KC,RB,29,fantasypros_ecr
Garrett Wilson,NYJ,WR,30,fantasypros_ecr
Lamar Jackson,BAL,QB,31,fantasypros_ecr
Tetairoa McMillan,CAR,WR,32,fantasypros_ecr
Tee Higgins,CIN,WR,33,fantasypros_ecr
Ladd McConkey,LAC,WR,34,fantasypros_ecr
Emeka Egbuka,TB,WR,35,fantasypros_ecr
Jaylen Waddle,DEN,WR,36,fantasypros_ecr
Drake Maye,NE,QB,37,fantasypros_ecr
Colston Loveland,CHI,TE,38,fantasypros_ecr
Derrick Henry,BAL,RB,39,fantasypros_ecr
Jeremiyah Love,ARI,RB,40,fantasypros_ecr
Breece Hall,NYJ,RB,41,fantasypros_ecr
Kyren Williams,LAR,RB,42,fantasypros_ecr
Terry McLaurin,WAS,WR,43,fantasypros_ecr
Josh Jacobs,GB,RB,44,fantasypros_ecr
Joe Burrow,CIN,QB,45,fantasypros_ecr
Javonte Williams,DAL,RB,46,fantasypros_ecr
Luther Burden III,CHI,WR,47,fantasypros_ecr
Travis Etienne Jr.,NO,RB,48,fantasypros_ecr
Jayden Daniels,WAS,QB,49,fantasypros_ecr
Davante Adams,LAR,WR,50,fantasypros_ecr
DJ Moore,BUF,WR,51,fantasypros_ecr
Tyler Warren,IND,TE,52,fantasypros_ecr
Mike Evans,SF,WR,53,fantasypros_ecr
Cam Skattebo,NYG,RB,54,fantasypros_ecr
Jameson Williams,DET,WR,55,fantasypros_ecr
Christian Watson,GB,WR,56,fantasypros_ecr
Jalen Hurts,PHI,QB,57,fantasypros_ecr
Bucky Irving,TB,RB,58,fantasypros_ecr
D'Andre Swift,CHI,RB,59,fantasypros_ecr
Rome Odunze,CHI,WR,60,fantasypros_ecr
Quinshon Judkins,CLE,RB,61,fantasypros_ecr
David Montgomery,HOU,RB,62,fantasypros_ecr
TreVeyon Henderson,NE,RB,63,fantasypros_ecr
Carnell Tate,TEN,WR,64,fantasypros_ecr
Caleb Williams,CHI,QB,65,fantasypros_ecr
Parker Washington,JAX,WR,66,fantasypros_ecr
Marvin Harrison Jr.,ARI,WR,67,fantasypros_ecr
Justin Herbert,LAC,QB,68,fantasypros_ecr
Bhayshul Tuten,JAX,RB,69,fantasypros_ecr
Tucker Kraft,GB,TE,70,fantasypros_ecr
Jadarian Price,SEA,RB,71,fantasypros_ecr
Jaylen Warren,PIT,RB,72,fantasypros_ecr
Brian Thomas Jr.,JAX,WR,73,fantasypros_ecr
Harold Fannin Jr.,CLE,TE,74,fantasypros_ecr
Trevor Lawrence,JAX,QB,75,fantasypros_ecr
DK Metcalf,PIT,WR,76,fantasypros_ecr
Dak Prescott,DAL,QB,77,fantasypros_ecr
Chris Godwin Jr.,TB,WR,78,fantasypros_ecr
Rhamondre Stevenson,NE,RB,79,fantasypros_ecr
Tony Pollard,TEN,RB,80,fantasypros_ecr
Kyle Pitts Sr.,ATL,TE,81,fantasypros_ecr
Sam LaPorta,DET,TE,82,fantasypros_ecr
Michael Pittman Jr.,PIT,WR,83,fantasypros_ecr
Josh Downs,IND,WR,84,fantasypros_ecr
