Rank,Player,Position,PositionRank,Team,AuctionValue,Bye
1,Jahmyr Gibbs,RB,1,DET,57,6
2,Bijan Robinson,RB,2,ATL,56,11
3,Ja'Marr Chase,WR,1,CIN,56,6
4,Puka Nacua,WR,2,LAR,55,11
5,Jaxon Smith-Njigba,WR,3,SEA,54,11
6,Christian McCaffrey,RB,3,SF,53,8
7,Jonathan Taylor,RB,4,IND,52,13
8,Amon-Ra St. Brown,WR,4,DET,52,6
9,CeeDee Lamb,WR,5,DAL,51,14
10,Justin Jefferson,WR,6,MIN,50,6
11,De'Von Achane,RB,5,MIA,48,6
12,James Cook III,RB,6,BUF,46,7
13,Jeremiyah Love,RB,7,ARI,45,14
14,Drake London,WR,7,ATL,43,11
15,Saquon Barkley,RB,8,PHI,42,10
16,Derrick Henry,RB,9,BAL,40,13
17,Ashton Jeanty,RB,10,LV,38,13
18,Kenneth Walker III,RB,11,KC,37,5
19,Chase Brown,RB,12,CIN,36,6
20,Trey McBride,TE,1,ARI,35,14
21,Brock Bowers,TE,2,LV,34,13
22,Omarion Hampton,RB,13,LAC,33,7
23,Breece Hall,RB,14,NYJ,32,13
24,Rashee Rice,WR,8,KC,32,5
25,Nico Collins,WR,9,HOU,31,8
26,A.J. Brown,WR,10,NE,30,11
27,Chris Olave,WR,11,NO,30,8
28,Malik Nabers,WR,12,NYG,29,8
29,Garrett Wilson,WR,13,NYJ,28,13
30,Josh Jacobs,RB,15,GB,27,11
31,George Pickens,WR,14,DAL,26,14
32,Javonte Williams,RB,16,DAL,25,14
33,Tetairoa McMillan,WR,15,CAR,24,5
34,Zay Flowers,WR,16,BAL,23,13
35,DeVonta Smith,WR,17,PHI,22,10
36,Josh Allen,QB,1,BUF,22,7
37,Travis Etienne Jr.,RB,17,NO,22,8
38,Kyren Williams,RB,18,LAR,21,11
39,Quinshon Judkins,RB,19,CLE,21,11
40,Cam Skattebo,RB,20,NYG,20,8
41,Bucky Irving,RB,21,TB,19,10
42,Emeka Egbuka,WR,18,TB,19,10
43,Davante Adams,WR,19,LAR,18,11
44,Ladd McConkey,WR,20,LAC,17,7
45,Terry McLaurin,WR,21,WAS,17,7
46,Tee Higgins,WR,22,CIN,15,6
47,Jaylen Waddle,WR,23,DEN,15,10
48,Rome Odunze,WR,24,CHI,14,10
49,Colston Loveland,TE,3,CHI,13,10
50,Tyler Warren,TE,4,IND,13,13
51,Jameson Williams,WR,25,DET,12,6
52,DJ Moore,WR,26,BUF,11,7
53,Luther Burden III,WR,27,CHI,11,10
54,Carnell Tate,WR,28,TEN,10,9
55,Jayden Daniels,QB,2,WAS,10,7
56,Lamar Jackson,QB,3,BAL,10,13
57,Drake Maye,QB,4,NE,10,11
58,Jalen Hurts,QB,5,PHI,9,10
59,D'Andre Swift,RB,22,CHI,9,10
60,Bhayshul Tuten,RB,23,JAC,9,7
61,David Montgomery,RB,24,HOU,8,8
62,Jadarian Price,RB,25,SEA,8,11
63,Rhamondre Stevenson,RB,26,NE,8,11
64,Jaylen Warren,RB,27,PIT,7,9
65,Courtland Sutton,WR,29,DEN,7,10
66,Michael Pittman Jr.,WR,30,PIT,7,9
67,Marvin Harrison Jr.,WR,31,ARI,7,14
68,DK Metcalf,WR,32,PIT,6,9
69,Parker Washington,WR,33,JAC,6,7
70,Alec Pierce,WR,34,IND,6,13
71,Kyle Pitts Sr.,TE,5,ATL,6,11
72,Harold Fannin Jr.,TE,6,CLE,6,11
73,Sam LaPorta,TE,7,DET,6,6
74,Joe Burrow,QB,6,CIN,5,6
75,Jaxson Dart,QB,7,NYG,5,8
76,Christian Watson,WR,35,GB,5,11
77,Mike Evans,WR,36,SF,5,8
78,Matthew Golden,WR,37,GB,4,11
79,Brian Thomas Jr.,WR,38,JAC,4,7
80,Michael Wilson,WR,39,ARI,4,14
81,Jakobi Meyers,WR,40,JAC,4,7
82,Trevor Lawrence,QB,8,JAC,4,7
83,Dak Prescott,QB,9,DAL,4,14
84,Bo Nix,QB,10,DEN,4,10
85,Brock Purdy,QB,11,SF,4,8
86,Matthew Stafford,QB,12,LAR,4,11
87,Caleb Williams,QB,13,CHI,3,10
88,Wan'Dale Robinson,WR,41,TEN,3,9
89,Jordan Addison,WR,42,MIN,3,6
90,De'Zhaun Stribling,WR,43,SF,3,8
91,Khalil Shakir,WR,44,BUF,3,7
92,Jayden Reed,WR,45,GB,3,11
93,Justin Herbert,QB,14,LAC,3,7
94,Patrick Mahomes,QB,15,KC,3,5
95,Rico Dowdle,RB,28,PIT,3,9
96,Jonathon Brooks,RB,29,CAR,2,5
97,TreVeyon Henderson,RB,30,NE,2,11
98,Tony Pollard,RB,31,TEN,2,9
99,Kenny Gainwell,RB,32,TB,2,10
100,Chuba Hubbard,RB,33,CAR,2,5
101,George Kittle,TE,8,SF,2,8
102,Tucker Kraft,TE,9,GB,2,11
103,Dallas Goedert,TE,10,PHI,2,10
104,Travis Kelce,TE,11,KC,2,5
105,J.K. Dobbins,RB,34,DEN,2,10
106,Kyle Monangai,RB,35,CHI,2,10
107,Jacory Croskey-Merritt,RB,36,WAS,2,7
108,Aaron Jones Sr.,RB,37,MIN,2,6
109,Jake Ferguson,TE,12,DAL,2,14
110,Mark Andrews,TE,13,BAL,2,13
111,Isaiah Likely,TE,14,NYG,2,8
112,Xavier Worthy,WR,46,KC,2,5
113,Quentin Johnston,WR,47,LAC,2,7
114,Stefon Diggs,WR,48,WAS,2,7
115,Rachaad White,RB,38,WAS,2,7
116,Dalton Kincaid,TE,15,BUF,2,7
117,T.J. Hockenson,TE,16,MIN,2,6
118,Hunter Henry,TE,17,NE,2,11
119,Terrance Ferguson,TE,18,LAR,2,11
120,Jordan Mason,RB,39,MIN,2,6
121,Blake Corum,RB,40,LAR,1,11
122,RJ Harvey,RB,41,DEN,1,10
123,Woody Marks,RB,42,HOU,1,8
124,Josh Downs,WR,49,IND,1,13
125,KC Concepcion,WR,50,CLE,1,11
126,Makai Lemon,WR,51,PHI,1,10
127,Chris Godwin Jr.,WR,52,TB,1,10
128,Deebo Samuel Sr.,WR,53,SF,1,8
129,Romeo Doubs,WR,54,NE,1,11
130,Jalen Coker,WR,55,CAR,1,5
131,Rashid Shaheed,WR,56,SEA,1,11
132,Jalen McMillan,WR,57,TB,1,10
133,Kyler Murray,QB,16,MIN,1,6
134,Tyler Shough,QB,17,NO,1,8
135,Jared Goff,QB,18,DET,1,6
136,Daniel Jones,QB,19,IND,1,13
137,Zach Charbonnet,RB,43,SEA,1,11
138,Tyjae Spears,RB,44,TEN,1,9
139,Chris Rodriguez Jr.,RB,45,JAC,1,7
140,Brian Robinson Jr.,RB,46,ATL,1,11
141,Tyler Allgeier,RB,47,ARI,0,14
142,MarShawn Lloyd,RB,48,GB,0,11
143,Denzel Boston,WR,58,CLE,0,11
144,Jerry Jeudy,WR,59,CLE,0,11
145,Calvin Ridley,WR,60,TEN,0,9
146,Adonai Mitchell,WR,61,NYJ,0,13
147,Travis Hunter,WR,62,JAC,0,7
148,Caleb Douglas,WR,63,MIA,0,6
149,Baker Mayfield,QB,20,TB,0,10
150,Malik Willis,QB,21,MIA,0,6
151,Jordyn Tyson,WR,64,NO,0,8
152,Tre Tucker,WR,65,LV,0,13
153,Jalen Nailor,WR,66,LV,0,13
154,Keaton Mitchell,RB,49,LAC,0,7
155,Isiah Pacheco,RB,50,DET,0,6
156,Jonah Coleman,RB,51,DEN,0,10
157,Mike Washington Jr.,RB,52,LV,0,13
158,Braelon Allen,RB,53,NYJ,0,13
159,Kenyon Sadiq,TE,19,NYJ,0,13
160,Juwan Johnson,TE,20,NO,0,8
161,Keenan Allen,WR,67,IND,0,13
162,Rashod Bateman,WR,68,BAL,0,13
163,Dontayvion Wicks,WR,69,PHI,0,10
164,Devaughn Vele,WR,70,NO,0,8
165,Jaylin Noel,WR,71,HOU,0,8
166,Tank Bigsby,RB,54,PHI,0,10
167,Ray Davis,RB,55,BUF,0,7
168,Dylan Sampson,RB,56,CLE,0,11
169,Texans D/ST,DST,1,HOU,1,8
170,Broncos D/ST,DST,2,DEN,1,10
171,Steelers D/ST,DST,3,PIT,1,9
172,Seahawks D/ST,DST,4,SEA,1,11
173,Rams D/ST,DST,5,LAR,1,11
174,Ravens D/ST,DST,6,BAL,1,13
175,Eagles D/ST,DST,7,PHI,1,10
176,Browns D/ST,DST,8,CLE,1,11
177,Patriots D/ST,DST,9,NE,1,11
178,Lions D/ST,DST,10,DET,1,6
179,Chiefs D/ST,DST,11,KC,0,5
180,Chargers D/ST,DST,12,LAC,0,7
181,Brandon Aubrey,K,1,DAL,1,14
182,Cameron Dicker,K,2,LAC,1,7
183,Jason Myers,K,3,SEA,1,11
184,Harrison Mevis,K,4,LAR,1,11
185,Ka'imi Fairbairn,K,5,HOU,1,8
186,Eddy Pineiro,K,6,SF,1,8
187,Harrison Butker,K,7,KC,1,5
188,Cam Little,K,8,JAC,1,7
189,Jake Bates,K,9,DET,1,6
190,Tyler Loop,K,10,BAL,1,13
191,Cairo Santos,K,11,CHI,0,10
192,Will Reichard,K,12,MIN,0,6
193,Najee Harris,RB,57,NYG,0,8
194,Brenton Strange,TE,21,JAC,0,7
195,Alvin Kamara,RB,58,NO,0,8
196,Justice Hill,RB,59,BAL,0,13
197,Ja'Kobi Lane,WR,72,BAL,0,13
198,Jordan Love,QB,22,GB,0,11
199,C.J. Stroud,QB,23,HOU,0,8
200,Sam Darnold,QB,24,SEA,0,11
201,Jauan Jennings,WR,73,MIN,0,6
202,Tank Dell,WR,74,HOU,0,8
203,Germie Bernard,WR,75,PIT,0,9
204,Tre Harris,WR,76,LAC,0,7
205,Ryan Flournoy,WR,77,DAL,0,14
206,Pat Freiermuth,TE,22,PIT,0,9
207,Dalton Schultz,TE,23,HOU,0,8
208,Zachariah Branch,WR,78,ATL,0,11
209,Omar Cooper Jr.,WR,79,NYJ,0,13
210,Kayshon Boutte,WR,80,HOU,0,8
211,Malik Washington,WR,81,MIA,0,6
212,Jordan James,RB,60,SF,0,8
213,Kaelon Black,RB,61,SF,0,8
214,Kimani Vidal,RB,62,LAC,0,7
215,Gunnar Helm,TE,24,TEN,0,9
216,Chig Okonkwo,TE,25,WAS,0,7
217,AJ Barner,TE,26,SEA,0,11
218,Bryce Young,QB,25,CAR,0,5
219,Cam Ward,QB,26,TEN,0,9
220,Jacoby Brissett,QB,27,ARI,0,14
221,Jaylen Wright,RB,63,MIA,0,6
222,Ollie Gordon II,RB,64,MIA,0,6
223,Samaje Perine,RB,65,CIN,0,6
224,Cooper Kupp,WR,82,SEA,0,11
225,Ty Johnson,RB,66,BUF,0,7
226,Isaiah Davis,RB,67,NYJ,0,13
227,Xavier Legette,WR,83,CAR,0,5
228,Jahan Dotson,WR,84,ATL,0,11
229,Darius Slayton,WR,85,NYG,0,8
230,Jalen Tolbert,WR,86,MIA,0,6
231,DeMario Douglas,WR,87,NE,0,11
232,Chris Bell,WR,88,MIA,0,6
233,Antonio Williams,WR,89,WAS,0,7
234,Tyquan Thornton,WR,90,KC,0,5
235,Buccaneers D/ST,DST,13,TB,0,10
236,Packers D/ST,DST,14,GB,0,11
237,Chris Boswell,K,13,PIT,0,9
238,Chase McLaughlin,K,14,TB,0,10
239,Jaydon Blue,RB,68,DAL,0,14
240,Kaytron Allen,RB,69,WAS,0,7
241,Tyrone Tracy Jr.,RB,70,NYG,0,8
242,Nicholas Singleton,RB,71,TEN,0,9
243,Demond Claiborne,RB,72,MIN,0,6
244,Adam Randall,RB,73,BAL,0,13
245,Emmett Johnson,RB,74,KC,0,5
246,LeQuint Allen,RB,75,JAC,0,7
247,George Holani,RB,76,SEA,0,11
248,Sean Tucker,RB,77,TB,0,10
249,James Conner,RB,78,ARI,0,14
250,Emari Demercado,RB,79,KC,0,5
251,Seth McGowan,RB,80,IND,0,13
252,Keon Coleman,WR,91,BUF,0,7
253,Isaac TeSlaa,WR,92,DET,0,6
254,Jaguars D/ST,DST,15,JAC,0,7
255,Saints D/ST,DST,16,NO,0,8
256,Evan McPherson,K,15,CIN,0,6
257,Nick Folk,K,16,ATL,0,11
258,Greg Dulcich,TE,27,MIA,0,6
259,Darren Waller,TE,28,CAR,0,5
260,Cade Otton,TE,29,TB,0,10
261,Pat Bryant,WR,93,DEN,0,10
262,Darnell Mooney,WR,94,NYG,0,8
263,Marvin Mims Jr.,WR,95,DEN,0,10
264,Malachi Fields,WR,96,NYG,0,8
265,Chris Brooks,RB,81,GB,0,11
266,Emanuel Wilson,RB,82,SEA,0,11
267,Geno Smith,QB,28,NYJ,0,13
268,Fernando Mendoza,QB,29,LV,0,13
269,Aaron Rodgers,QB,30,PIT,0,9
270,Deshaun Watson,QB,31,CLE,0,11
271,KaVontae Turpin,WR,97,DAL,0,14
272,Jack Bech,WR,98,LV,0,13
273,Tory Horton,WR,99,SEA,0,11
274,Ted Hurst,WR,100,TB,0,10
275,Andrei Iosivas,WR,101,CIN,0,6
276,Will Shipley,RB,83,PHI,0,10
277,Malik Davis,RB,84,DAL,0,14
278,Kendre Miller,RB,85,NO,0,8
279,Tahj Brooks,RB,86,CIN,0,6
280,Trevor Etienne,RB,87,CAR,0,5
281,DJ Giddens,RB,88,IND,0,13
282,Jawhar Jordan,RB,89,HOU,0,8
283,Kaleb Johnson,RB,90,PIT,0,9
284,Mack Hollins,WR,102,NE,0,11
285,Bears D/ST,DST,17,CHI,0,10
286,Jets D/ST,DST,18,NYJ,0,13
287,Trey Smack,K,17,GB,0,11
288,Jake Elliott,K,18,PHI,0,10
289,Evan Engram,TE,30,DEN,0,10
290,David Njoku,TE,31,LAC,0,7
